,id,x,y,unique_squi_id,Shift,Date,Age,primary_fur_color,Location,specific_location,running,Chasing,Climbing,Eating,Foraging,other_activities,Kuks,Quaas,Moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
162,1164,-73.97123088643941,40.7714534847379,9G-AM-1007-04,AM,10072018,Adult,Gray,Above Ground,not known,False,False,False,False,False,grooming,False,False,False,False,False,False,True,False
163,1165,-73.9758676144255,40.7701671581939,5D-PM-1018-03,PM,10182018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
164,1166,-73.969058856545,40.776635622697896,14F-PM-1012-06,PM,10122018,Adult,Cinnamon,Ground Plane,not known,False,False,False,True,True,not known,False,False,False,False,True,False,True,False
165,1167,-73.96384633980401,40.7834051716226,23F-AM-1018-01,AM,10182018,Adult,Cinnamon,Above Ground,not known,False,False,True,False,False,not known,False,False,False,False,False,False,True,False
166,1168,-73.95976427784271,40.7976368003915,39A-PM-1014-02,PM,10142018,Adult,Gray,Ground Plane,not known,False,False,False,False,False,not known,False,False,False,False,False,False,False,False
167,1169,-73.9745691353018,40.777103558929795,13A-PM-1014-03,PM,10142018,Adult,Gray,Above Ground,not known,False,False,True,False,False,not known,False,False,False,False,False,False,False,True
168,1170,-73.97487064155841,40.7744174965072,10B-AM-1006-02,AM,10062018,Juvenile,Gray,Above Ground,High in a tree,False,False,True,False,False,not known,False,False,False,False,False,False,True,False
169,1171,-73.95972059663241,40.7969409510133,38B-AM-1019-01,AM,10192018,Adult,Gray,Ground Plane,not known,True,False,False,False,False,not known,False,False,False,False,False,False,False,True
170,1172,-73.971086588091,40.77197032351779,9G-PM-1007-06,PM,10072018,Adult,Gray,Ground Plane,not known,False,False,False,True,False,not known,False,False,False,False,False,False,False,False
171,1173,-73.958535640774,40.7982737896998,40B-AM-1019-02,AM,10192018,Juvenile,Gray,Ground Plane,not known,True,False,False,False,False,not known,False,False,False,False,True,False,False,False
172,1174,-73.95877018015099,40.793412394152796,35D-PM-1013-04,PM,10132018,Juvenile,Gray,not known,not known,False,False,False,False,False,not known,False,False,False,False,False,False,False,False
173,1175,-73.9707274055755,40.772388908037705,10G-PM-1017-10,PM,10172018,Adult,Gray,Ground Plane,not known,False,False,False,False,False,playing (with #9),False,False,False,False,False,False,True,False
174,1176,-73.9720065066618,40.7764043782924,13C-AM-1010-04,AM,10102018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,True,False,True,False
175,1177,-73.9618064639153,40.792158440043,32C-PM-1013-12,PM,10132018,Adult,Gray,Ground Plane,not known,True,False,False,False,True,not known,False,False,False,False,True,True,False,False
176,1178,-73.9554432393295,40.794566905444896,37F-PM-1014-01,PM,10142018,not known,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,False,True
177,1179,-73.9613780522542,40.790786197111004,31D-PM-1006-04,PM,10062018,Adult,Gray,Above Ground,not known,False,False,False,True,False,not known,False,False,False,False,False,False,True,False
178,1180,-73.9646901432328,40.775995869679,15I-PM-1012-03,PM,10122018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,False,False
179,1181,-73.96908283251791,40.781803817227505,19C-PM-1018-04,PM,10182018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,False,False
180,1182,-73.9708775864433,40.772473633538,10F-PM-1019-12,PM,10192018,Adult,Black,Ground Plane,not known,True,False,False,False,True,not known,False,False,False,False,False,False,False,True
181,1183,-73.9691050656013,40.780813953822204,18C-PM-1018-01,PM,10182018,not known,Black,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
182,1184,-73.9768434635084,40.772849403874396,7B-AM-1008-11,AM,10082018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
183,1185,-73.9553811810434,40.7970895007931,40E-AM-1014-02,AM,10142018,Adult,Gray,Ground Plane,not known,True,False,False,False,True,not known,False,False,False,False,True,False,True,False
184,1186,-73.95884684130941,40.796385229901205,38B-AM-1019-05,AM,10192018,Adult,Gray,Above Ground,not known,False,False,True,False,False,sitting still,False,True,False,False,False,False,False,False
185,1187,-73.9788138172962,40.7693001754769,3B-AM-1010-09,AM,10102018,Juvenile,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,False,True
186,1188,-73.9700162034073,40.7815277479588,19B-AM-1019-02,AM,10192018,Juvenile,Gray,Ground Plane,not known,True,False,False,True,False,posing,False,False,False,False,False,False,True,True
187,1189,-73.9570528770427,40.7990973804149,41B-AM-1010-07,AM,10102018,Adult,Cinnamon,Above Ground,not known,False,False,False,False,False,not known,True,False,False,True,False,True,False,False
188,1190,-73.9735489537928,40.76812579115229,4G-AM-1006-02,AM,10062018,not known,Gray,Above Ground,tree,False,False,False,False,False,sitting in tree,False,False,False,False,False,False,True,False
189,1191,-73.9695507965155,40.7743070423435,12F-PM-1007-04,PM,10072018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
190,1192,-73.9787105069657,40.7693708133873,3B-AM-1010-08,AM,10102018,Juvenile,Gray,Above Ground,not known,False,False,True,False,False,together w/ #7,False,False,False,False,False,False,True,False
191,1193,-73.9651654887991,40.7777806006951,17H-PM-1007-02,PM,10072018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,True,False,False,True,False
192,1194,-73.9537691298752,40.7941272599797,38G-PM-1020-01,PM,10202018,Adult,Gray,Ground Plane,not known,True,False,False,False,False,not known,False,False,False,True,False,False,False,True
193,1195,-73.9764839973068,40.7691725326976,4D-PM-1008-06,PM,10082018,Adult,Cinnamon,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,True,False,False,True,False
194,1196,-73.97377736133109,40.7673662611015,3G-PM-1013-01,PM,10132018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,False,True
195,1197,-73.965796978969,40.7760402842845,15H-PM-1008-03,PM,10082018,Adult,Gray,Ground Plane,lawn moving east over Park path,False,False,False,False,False,not sure walk-pause-walk,False,False,False,False,False,False,True,False
196,1198,-73.9679336341793,40.7754186579647,14G-PM-1013-01,PM,10132018,Adult,Gray,Ground Plane,not known,False,False,True,False,False,not known,False,False,False,False,False,False,False,False
197,1199,-73.9761107065353,40.769642060286,5D-AM-1020-01,AM,10202018,Adult,gray,Above Ground,not known,False,False,False,False,True,not known,False,False,False,False,False,False,False,False
198,1200,-73.97716146866159,40.770967798324705,5C-AM-1006-02,AM,10062018,Adult,Cinnamon,Above Ground,not known,True,False,True,True,False,not known,False,False,False,False,False,False,True,False
199,1201,-73.9510747586301,40.7973106833951,42H-AM-1019-02,AM,10192018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
200,1202,-73.9598015842806,40.7973522744237,38A-PM-1013-03,PM,10132018,Adult,Gray,Above Ground,not known,False,False,True,False,False,not known,False,False,False,False,False,False,True,False
201,1203,-73.97187291016759,40.7703692621371,7G-PM-1018-05,PM,10182018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,False,False
202,1204,-73.96387745795491,40.79135321291479,31A-AM-1010-05,AM,10102018,Adult,Gray,Ground Plane,not known,False,False,False,True,True,jumping,False,False,False,True,True,False,True,False
203,1205,-73.96795381633409,40.7837103696906,22C-AM-1013-03,AM,10132018,Juvenile,Cinnamon,Ground Plane,not known,False,False,False,True,True,eating (mushroom),False,False,False,False,False,False,False,True
204,1206,-73.9564724104048,40.7936055508162,36F-PM-1012-04,PM,10122018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,False,True
205,1207,-73.96136434180251,40.789243193420894,30D-AM-1017-02,AM,10172018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
206,1208,-73.9770824412252,40.770996130945704,5C-AM-1006-03,AM,10062018,Adult,Gray,Above Ground,not known,False,False,True,False,False,not known,False,False,False,False,False,False,True,False
207,1209,-73.9677646187171,40.7746492806333,13H-PM-1010-05,PM,10102018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
208,1210,-73.97107601968679,40.7725506006789,10F-PM-1019-02,PM,10192018,Juvenile,Gray,Ground Plane,"Behind fence, grass",True,False,False,False,False,not known,False,False,False,False,True,False,False,True
209,1211,-73.97112984911321,40.76769026035429,5I-PM-1008-01,PM,10082018,Adult,Black,Above Ground,in tree by arsenal - climbing,False,False,True,True,False,not known,False,False,False,True,False,False,False,False
210,1212,-73.9702755805141,40.7783547795222,16D-PM-1010-13,PM,10102018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
211,1213,-73.9638837160341,40.7809747900833,21G-AM-1014-07,AM,10142018,Adult,Gray,Above Ground,not known,False,False,True,False,False,not known,False,False,False,False,False,False,False,False
212,1214,-73.968367485157,40.7838472644815,22B-PM-1014-05,PM,10142018,not known,Gray,Ground Plane,not known,False,False,False,True,False,eating (eats with head tilted far to the right (tooth issue?)),False,False,False,False,False,False,False,False
213,1215,-73.97725765612441,40.767989509396294,3D-AM-1006-08,AM,10062018,Adult,Cinnamon,Ground Plane,not known,False,False,False,True,True,not known,False,False,False,False,False,True,False,False
214,1216,-73.9519639918804,40.79499117023921,39H-AM-1007-01,AM,10072018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
215,1217,-73.97542703689841,40.770241150230795,6D-PM-1020-01,PM,10202018,Adult,Gray,Ground Plane,Baseball field,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
216,1218,-73.9712327308512,40.7748702909218,12E-PM-1018-06,PM,10182018,Juvenile,Cinnamon,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,True,False,True,False
217,1219,-73.9712318712643,40.7773053099657,14D-PM-1019-04,PM,10192018,Adult,Gray,Ground Plane,not known,False,False,False,True,False,not known,False,False,False,False,False,False,False,False
218,1220,-73.9761209945419,40.768240452890296,3E-PM-1008-03,PM,10082018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,False,True
219,1221,-73.96718161220299,40.7787752287055,17F-PM-1020-03,PM,10202018,Adult,Gray,Above Ground,not known,False,False,True,True,False,not known,False,False,False,False,False,False,False,False
220,1222,-73.9665709146738,40.7839384318554,22D-PM-1012-04,PM,10122018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
221,1223,-73.97702735535249,40.7732399463626,8A-AM-1013-03,AM,10132018,Juvenile,gray,Above Ground,fence,True,False,True,True,False,playing tag together,False,False,False,False,False,True,False,False
222,1224,-73.9737091707831,40.771373256751204,7E-AM-1006-03,AM,10062018,Adult,Gray,Ground Plane,under a tree,False,False,False,True,False,not known,False,False,False,False,False,False,False,False
223,1225,-73.9520592496349,40.797507629981105,42G-PM-1014-03,PM,10142018,Adult,Cinnamon,Above Ground,on fence,True,False,False,False,False,prancing,False,False,False,False,False,False,False,True
224,1226,-73.963842266151,40.788734086777296,28C-PM-1006-02,PM,10062018,Adult,Gray,Ground Plane,Near rock,True,False,False,False,False,not known,False,False,False,False,False,False,False,True
225,1227,-73.97756817314591,40.7676421190309,2D-AM-1007-03,AM,10072018,Adult,Gray,Above Ground,not known,False,False,True,False,False,not known,False,False,False,False,False,False,False,False
